Date,ID,Click Cost
2015-01-01 12:01:21,8895519749317550080,11.794442
2015-01-01 12:01:33,6487139546184780800,11.718663
2015-01-01 12:02:25,1277480883056123904,0.000000
2015-01-01 12:02:57,3777890599251549184,0.000000
2015-01-01 12:04:02,6202006224593186816,9.340521
2015-01-01 12:04:15,7375754838836782080,9.827456
2015-01-01 12:04:12,1162345557141671936,0.000000
2015-01-01 12:04:11,8370837523317244928,0.000000
2015-01-01 12:04:28,5217170615204436992,0.000000
2015-01-01 12:04:35,9205559084602150912,0.000000
2015-01-01 12:05:51,4033231570324092928,14.570611
2015-01-01 12:06:48,5024355283837802496,0.000000
2015-01-01 12:06:56,4176769234609457152,8.167711
2015-01-01 12:07:40,6194744146071669760,0.000000
2015-01-01 12:09:46,5901145211964154880,9.557479
2015-01-01 12:11:11,3334649978696392704,0.000000
2015-01-01 12:11:21,1204592395485832192,13.430781
2015-01-01 12:12:47,7928515372481310720,11.311353
2015-01-01 12:14:57,2372317742582114304,0.000000
2015-01-01 12:15:53,5874214096119492608,14.543623
2015-01-01 12:16:10,8918212838267728896,14.941834
2015-01-01 12:16:19,3895598221395189760,6.666157
2015-01-01 12:16:42,1087115193742237696,11.740378
2015-01-01 12:16:38,1738484489860276224,0.000000
2015-01-01 12:18:01,7118381010663545856,7.311993
2015-01-01 12:19:31,3282845256534538240,0.000000
2015-01-01 12:19:08,4567915103290113024,0.000000
2015-01-01 12:19:29,72051149451677696,9.101524
2015-01-01 12:19:25,6898038384990277632,0.000000
2015-01-01 12:19:57,6051100061143874560,0.000000
2015-01-01 12:20:09,6759348737745882112,0.000000
2015-01-01 12:21:30,58652532564579328,5.272682
2015-01-01 12:22:16,1466449677414475776,0.000000
2015-01-01 12:23:04,2299815491955069952,8.631576
2015-01-01 12:23:28,5003802645498442752,0.000000
2015-01-01 12:25:14,6315709617441218560,13.261555
2015-01-01 12:25:57,2588286729360762880,0.000000
2015-01-01 12:26:13,2247645616672825344,8.640600
2015-01-01 12:27:54,1865544450232993792,6.064837
2015-01-01 12:26:43,3040605463565667328,0.000000
2015-01-01 12:27:24,1338507802794735616,8.535093
2015-01-01 12:28:20,1394237900267662336,0.000000
2015-01-01 12:29:11,4997662344549392384,7.728129
2015-01-01 12:29:48,8044453009761204224,0.000000
2015-01-01 12:31:27,4618010100530674688,6.643453
2015-01-01 12:31:45,279081330916713472,8.266378
2015-01-01 12:32:11,4535232922096182272,0.000000
2015-01-01 12:32:05,5265189857851008000,10.954269
2015-01-01 12:33:20,2150395068887323648,0.000000
2015-01-01 12:33:50,3734178359151351808,0.000000
2015-01-01 12:33:58,1271967958372727808,0.000000
2015-01-01 12:34:07,4119388688580392960,0.000000
2015-01-01 12:35:06,5647245380731019264,0.000000
2015-01-01 12:35:31,7281491482805010432,0.000000
2015-01-01 12:36:04,6220168794849288192,6.813447
2015-01-01 12:36:46,8830806609258685440,0.000000
2015-01-01 12:37:00,5737598321191901184,5.709412
2015-01-01 12:36:57,7737166018497475584,9.848377
2015-01-01 12:36:52,6862844403118691328,7.886231
2015-01-01 12:36:39,880527984889507840,0.000000
2015-01-01 12:36:53,964021378324755456,0.000000
2015-01-01 12:37:15,3780334524865078272,9.181712
2015-01-01 12:37:21,4411349841881422848,0.000000
2015-01-01 12:37:31,5507963306014376960,9.035671
2015-01-01 12:39:11,82088387591798784,6.011843
2015-01-01 12:39:14,7669127112413278208,11.486270
2015-01-01 12:40:57,5024276707156312064,0.000000
2015-01-01 12:40:40,3240564392558022656,0.000000
2015-01-01 12:40:52,1262662734330927104,12.128742
2015-01-01 12:40:47,3906667150232125440,6.406267
2015-01-01 12:40:51,1124076853582728192,0.000000
2015-01-01 12:41:51,1707585916514538496,0.000000
2015-01-01 12:44:00,6562547726361677824,0.000000
2015-01-01 12:43:42,5984050013429514240,0.000000
2015-01-01 12:44:01,8634245822155741184,0.000000
2015-01-01 12:44:38,3228955327217565696,0.000000
2015-01-01 12:44:03,5762811465747867648,0.000000
2015-01-01 12:44:54,3450666341073981440,5.154232
2015-01-01 12:46:09,1068369467535431680,0.000000
2015-01-01 12:46:43,3379142832134438912,5.691940
2015-01-01 12:47:38,8491058329841585152,9.783890
2015-01-01 12:50:04,2101478891006439424,0.000000
2015-01-01 12:50:43,6330384312278807552,7.524573
2015-01-01 12:51:40,5590788709587289088,12.082276
2015-01-01 12:51:57,9091772545293281280,13.279141
2015-01-01 12:54:31,4189042897831493632,0.000000
2015-01-01 12:54:26,8014008265147612160,9.384640
2015-01-01 12:54:49,7869475938453142528,11.900187
2015-01-01 12:56:39,939481942083769344,0.000000
2015-01-01 12:56:58,8756374443594259456,12.932000
2015-01-01 12:58:30,4425451289467154432,0.000000
2015-01-01 12:58:32,1928281111551883264,0.000000
2015-01-01 12:59:17,512865360757885952,8.187738
2015-01-01 12:59:29,541711580562437120,8.762051
2015-01-01 13:00:06,20978849417936896,0.000000
2015-01-01 13:01:01,7660594541969759232,5.666520
2015-01-01 13:02:33,1395734434181067776,9.892654
2015-01-01 13:03:52,5778672869814323200,12.062498
2015-01-01 13:06:48,2190336699867794432,0.000000
2015-01-01 13:05:37,726007998685171712,0.000000
